entry_time,entry_price,exit_time,exit_price,profit_pts,win,spikes_caught,pnl_usd,equity
1772096580,3118.245,1772100420,3119.027,-0.782,True,2,10.0,2013.0
1772102100,3118.282,1772105940,3115.397,2.885,True,2,10.0,2023.0
1772106060,3115.766,1772109900,3121.413,-5.647,True,1,10.0,2033.0
1772116560,3101.191,1772120400,3106.493,-5.302,True,4,10.0,2043.0
1772120640,3107.637,1772124480,3114.347,-6.71,True,2,10.0,2053.0
1772125860,3111.881,1772129700,3116.797,-4.916,True,1,10.0,2063.0
1772136960,3072.969,1772140800,3078.057,-5.088,True,1,10.0,2073.0
1772140920,3078.393,1772144760,3075.152,3.241,True,3,10.0,2083.0
1772149200,3067.277,1772153040,3086.013,-18.736,False,0,-3.0,2080.0
1772156580,3077.06,1772160420,3082.812,-5.752,True,2,10.0,2090.0
1772168400,3085.185,1772172240,3074.499,10.686,True,3,10.0,2100.0
1772172960,3078.591,1772176800,3079.005,-0.414,True,2,10.0,2110.0
1772179860,3076.461,1772183700,3062.535,13.926,True,3,10.0,2120.0
1772184120,3064.66,1772187960,3062.432,2.228,True,3,10.0,2130.0
1772188740,3066.411,1772192580,3056.018,10.393,True,3,10.0,2140.0
1772193240,3059.536,1772197080,3048.275,11.261,True,3,10.0,2150.0
1772197200,3048.656,1772201040,3046.0,2.656,True,2,10.0,2160.0
1772201580,3049.005,1772205420,3037.924,11.081,True,5,10.0,2170.0
1772208660,3030.533,1772212500,3036.029,-5.496,True,1,10.0,2180.0
1772212620,3036.365,1772216460,3043.688,-7.323,True,2,10.0,2190.0
1772219340,3045.529,1772223180,3051.243,-5.714,True,1,10.0,2200.0
1772232120,3042.523,1772235960,3045.564,-3.041,True,1,10.0,2210.0
1772237760,3041.964,1772241600,3052.322,-10.358,True,1,10.0,2220.0
1772262240,3049.886,1772266080,3040.833,9.053,True,5,10.0,2230.0
1772266440,3042.727,1772270280,3013.362,29.365,True,6,10.0,2240.0
1772273040,3012.435,1772276880,3016.988,-4.553,True,1,10.0,2250.0
1772277000,3016.687,1772280840,3026.226,-9.539,True,2,10.0,2260.0
1772283480,3015.161,1772287320,3021.031,-5.87,True,1,10.0,2270.0
1772289720,3018.953,1772293560,3021.025,-2.072,True,1,10.0,2280.0
1772297040,3015.229,1772300880,3013.817,1.412,True,2,10.0,2290.0
1772304120,3002.898,1772307960,3012.792,-9.894,True,2,10.0,2300.0
1772330100,3013.269,1772333940,3020.163,-6.894,True,3,10.0,2310.0
1772334480,3023.077,1772338320,3016.097,6.98,True,4,10.0,2320.0
1772340000,3021.05,1772343840,3008.411,12.639,True,4,10.0,2330.0
1772346600,3007.905,1772350440,2993.41,14.495,True,3,10.0,2340.0
1772353620,2994.13,1772357460,3002.973,-8.843,True,1,10.0,2350.0
1772357580,3003.42,1772361420,3003.291,0.129,True,3,10.0,2360.0
1772366640,2984.712,1772370480,2994.646,-9.934,False,0,-3.0,2357.0
1772370600,2995.003,1772374440,3005.146,-10.143,True,1,10.0,2367.0
1772387520,3017.735,1772391360,3031.935,-14.2,False,0,-3.0,2364.0
1772411520,3036.451,1772415360,3030.609,5.842,True,2,10.0,2374.0
1772417100,3030.832,1772420940,3034.433,-3.601,True,1,10.0,2384.0
1772423940,3040.385,1772427780,3019.013,21.372,True,5,10.0,2394.0
1772428320,3021.792,1772432160,3034.645,-12.853,True,1,10.0,2404.0
1772442900,3031.598,1772446740,3016.115,15.483,True,4,10.0,2414.0
1772447040,3017.616,1772450880,3023.715,-6.099,False,0,-3.0,2411.0
1772451000,3024.069,1772454840,3031.872,-7.803,True,1,10.0,2421.0
1772458380,3026.535,1772462220,3032.784,-6.249,True,1,10.0,2431.0
1772469480,3028.613,1772473320,3036.76,-8.147,True,2,10.0,2441.0
1772492280,3031.996,1772496120,3027.359,4.637,True,3,10.0,2451.0
1772496240,3027.718,1772500080,3014.372,13.346,True,3,10.0,2461.0
1772500860,3015.64,1772504700,2998.43,17.21,True,1,10.0,2471.0
1772507760,2996.772,1772511600,3010.131,-13.359,True,1,10.0,2481.0
1772511720,3010.484,1772515560,3003.997,6.487,True,3,10.0,2491.0
1772515740,3004.774,1772519580,3014.33,-9.556,True,2,10.0,2501.0
1772551140,3033.289,1772554980,3052.041,-18.752,False,0,-3.0,2498.0
1772556720,3048.424,1772560560,3048.704,-0.28,True,2,10.0,2508.0
1772568120,3042.477,1772571960,3044.488,-2.011,True,1,10.0,2518.0
1772572860,3047.273,1772576700,3049.71,-2.437,True,3,10.0,2528.0
1772601120,3077.827,1772604960,3082.068,-4.241,False,0,-3.0,2525.0
1772606940,3080.259,1772610780,3084.114,-3.855,True,2,10.0,2535.0
1772624160,3085.799,1772628000,3081.618,4.181,True,2,10.0,2545.0
1772628900,3086.747,1772632740,3074.809,11.938,True,4,10.0,2555.0
1772633400,3078.676,1772637240,3079.773,-1.097,True,2,10.0,2565.0
1772637360,3080.102,1772641200,3071.226,8.876,True,3,10.0,2575.0
1772641440,3072.269,1772645280,3080.251,-7.982,False,0,-3.0,2572.0
1772651940,3079.435,1772655780,3078.235,1.2,True,3,10.0,2582.0
1772655900,3078.586,1772659740,3074.492,4.094,True,3,10.0,2592.0
1772660940,3077.896,1772664780,3068.369,9.527,True,2,10.0,2602.0
1772665800,3071.667,1772669640,3062.622,9.045,True,3,10.0,2612.0
1772672100,3065.481,1772675940,3066.703,-1.222,True,3,10.0,2622.0
1772676060,3067.024,1772679900,3070.52,-3.496,True,3,10.0,2632.0
1772680200,3072.076,1772684040,3061.745,10.331,True,4,10.0,2642.0
1772690160,3047.03,1772694000,3037.128,9.902,True,3,10.0,2652.0
1772694600,3040.381,1772698440,3036.882,3.499,True,2,10.0,2662.0
1772699340,3041.816,1772703180,3029.222,12.594,True,4,10.0,2672.0
1772706360,3029.374,1772710200,3025.112,4.262,True,2,10.0,2682.0
1772710320,3025.496,1772714160,3019.754,5.742,True,3,10.0,2692.0
1772714280,3020.103,1772718120,3029.188,-9.085,True,2,10.0,2702.0
1772718240,3029.625,1772722080,3027.513,2.112,True,3,10.0,2712.0
1772728920,3030.881,1772732760,3018.91,11.971,True,2,10.0,2722.0
1772734320,3023.881,1772738160,3021.28,2.601,True,3,10.0,2732.0
1772738340,3022.057,1772742180,3020.823,1.234,True,3,10.0,2742.0
1772747160,3001.658,1772751000,2998.705,2.953,True,2,10.0,2752.0
1772752860,3001.364,1772756700,3009.159,-7.795,False,0,-3.0,2749.0
1772756820,3009.53,1772760660,3018.063,-8.533,True,1,10.0,2759.0
1772767080,3004.259,1772770920,3005.921,-1.662,True,1,10.0,2769.0
1772771040,3006.353,1772774880,3000.818,5.535,True,3,10.0,2779.0
1772775600,3004.865,1772779440,3001.815,3.05,True,1,10.0,2789.0
1772779920,3004.308,1772783760,3009.046,-4.738,True,1,10.0,2799.0
1772783880,3009.454,1772787720,3002.588,6.866,True,1,10.0,2809.0
1772791080,2992.659,1772794920,3001.811,-9.152,False,0,-3.0,2806.0
1772804580,2996.195,1772808420,3003.95,-7.755,True,2,10.0,2816.0
1772812260,2999.198,1772816100,3008.373,-9.175,True,1,10.0,2826.0
1772829780,3009.36,1772833620,3015.297,-5.937,True,2,10.0,2836.0
1772837340,3009.824,1772841180,3013.552,-3.728,True,2,10.0,2846.0
1772848740,3010.302,1772852580,3011.574,-1.272,True,2,10.0,2856.0
1772857500,2990.195,1772861340,2978.372,11.823,True,5,10.0,2866.0
1772863080,2981.588,1772866920,2975.698,5.89,True,4,10.0,2876.0
1772871600,2957.636,1772875440,2973.107,-15.471,False,0,-3.0,2873.0
1772875560,2973.51,1772879400,2980.634,-7.124,True,1,10.0,2883.0
1772880900,2977.915,1772884740,2978.402,-0.487,True,1,10.0,2893.0
1772894580,2972.492,1772898420,2976.423,-3.931,True,1,10.0,2903.0
1772898600,2977.172,1772902440,2982.961,-5.789,True,1,10.0,2913.0
1772903700,2982.514,1772907540,2991.676,-9.162,False,0,-3.0,2910.0
1772912640,2983.397,1772916480,2981.453,1.944,True,3,10.0,2920.0
1772916600,2981.824,1772920440,2982.726,-0.902,True,1,10.0,2930.0
1772928000,2935.482,1772931840,2940.162,-4.68,True,1,10.0,2940.0
1772932080,2938.743,1772935920,2922.538,16.205,True,3,10.0,2950.0
1772936820,2927.641,1772940660,2924.723,2.918,True,2,10.0,2960.0
1772943120,2923.952,1772946960,2918.835,5.117,True,2,10.0,2970.0
1772951460,2885.878,1772955300,2883.941,1.937,True,1,10.0,2980.0
1772957100,2883.753,1772960940,2897.319,-13.566,True,1,10.0,2990.0
